,state,trump_votes,harris_votes
0,KS,741949,532475
1,UT,757608,487924
2,OR,855863,1131896
3,OK,1036213,499599
4,NM,422184,476088
5,LA,1208269,766424
6,WA,1388059,2059038
7,NY,3443683,4353005
8,MS,695333,424942
9,WY,192576,69508
10,VT,119393,235791
11,DE,214184,289585
12,MT,343576,225519
13,KY,1336227,700920
14,VA,2011637,2235958
15,TX,6375362,4806436
16,MA,1234783,2072304
17,IL,2402550,2882262
18,AZ,1522766,1336471
19,PA,3511865,3366829
20,CO,1330805,1676842
21,IA,926653,706556
22,NJ,1909707,2133455
23,SD,272081,146859
24,MO,1739047,1190823
25,WI,1697298,1667881
26,GA,2661056,2544281
27,IN,1711713,1158650
28,NE,557153,361949
29,AL,1457704,769391
30,CT,731164,986573
31,ND,245943,111966
32,HI,193169,312384
33,CA,4677709,7006051
34,MN,1518684,1656829
35,TN,1964499,1055039
36,NH,394869,417083
37,MI,2804647,2724029
38,NV,725402,679475
39,NC,2878108,2688797
40,ME,373172,429540
41,ID,605041,274838
42,WV,527704,210223
43,OH,3116579,2476003
44,FL,6109443,4680748
45,SC,1481919,1027225
46,AR,758651,395851
47,MD,969210,1650512
48,AK,141826,103200
49,RI,213021,282110
